year,month,day,wind_installed_capacity,pv_installed_capacity,csp_installed_capacity,other_re_installed_capacity,total_re_installed_capacity,installed_eskom_capacity
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,19,1474.19,300,21.78,3873.69,44546,3846
2018,4,20,1474.19,300,21.78,3873.69,44546,3964
2018,4,20,1474.19,300,21.78,3873.69,44546,3964
2018,4,20,1474.19,300,21.78,3873.69,44546,4003.167
2018,4,20,1474.19,300,21.78,3873.69,44546,4014
2018,4,20,1474.19,300,21.78,3873.69,44546,4014
2018,4,20,1474.19,300,21.78,3873.69,44546,4014
2018,4,20,1474.19,300,21.78,3873.69,44546,4014
2018,4,20,1474.19,300,21.78,3873.69,44546,4014
2018,4,20,1474.19,300,21.78,3873.69,44546,4014
2018,4,20,1474.19,300,21.78,3873.69,44546,4014
